WishID,ItemName
1.0.ce.sn1,芭芭拉
1.0.ce.sn1,香菱
1.0.ce.sn1,菲谢尔
1.0.ce.sn1,温迪
1.0.ce.sn2,行秋
1.0.ce.sn2,诺艾尔
1.0.ce.sn2,砂糖
1.0.ce.sn2,可莉
1.1.ce.sn1,北斗
1.1.ce.sn1,凝光
1.1.ce.sn1,迪奥娜
1.1.ce.sn1,达达利亚
1.1.ce.sn2,雷泽
1.1.ce.sn2,重云
1.1.ce.sn2,辛焱
1.1.ce.sn2,钟离
1.2.ce.sn1,菲谢尔
1.2.ce.sn1,砂糖
1.2.ce.sn1,班尼特
1.2.ce.sn1,阿贝多
1.2.ce.sn2,香菱
1.2.ce.sn2,行秋
1.2.ce.sn2,诺艾尔
1.2.ce.sn2,甘雨
1.3.ce.sn1,北斗
1.3.ce.sn1,迪奥娜
1.3.ce.sn1,辛焱
1.3.ce.sn1,魈
1.3.ce.sn2,芭芭拉
1.3.ce.sn2,凝光
1.3.ce.sn2,班尼特
1.3.ce.sn2,刻晴
1.3.ce.sn3,香菱
1.3.ce.sn3,行秋
1.3.ce.sn3,重云
1.3.ce.sn3,胡桃
1.4.ce.sn1,诺艾尔
1.4.ce.sn1,砂糖
1.4.ce.sn1,雷泽
1.4.ce.sn1,温迪
1.4.ce.sn2,罗莎莉亚
1.4.ce.sn2,达达利亚
1.5.ce.sn1,诺艾尔
1.5.ce.sn1,迪奥娜
1.5.ce.sn1,烟绯
1.5.ce.sn1,钟离
1.5.ce.sn2,行秋
1.5.ce.sn2,北斗
1.5.ce.sn2,辛焱
1.5.ce.sn2,优菈
1.6.ce.sn1,芭芭拉
1.6.ce.sn1,菲谢尔
1.6.ce.sn1,砂糖
1.6.ce.sn1,可莉
1.6.ce.sn2,雷泽
1.6.ce.sn2,班尼特
1.6.ce.sn2,罗莎莉亚
1.6.ce.sn2,枫原万叶
2.0.ce.sn1,凝光
2.0.ce.sn1,重云
2.0.ce.sn1,烟绯
2.0.ce.sn1,神里绫华
2.0.ce.sn2,迪奥娜
2.0.ce.sn2,辛焱
2.0.ce.sn2,早柚
2.0.ce.sn2,宵宫
2.1.ce.sn1,香菱
2.1.ce.sn1,砂糖
2.1.ce.sn1,九条裟罗
2.1.ce.sn1,雷电将军
2.1.ce.sn2,行秋
2.1.ce.sn2,北斗
2.1.ce.sn2,罗莎莉亚
2.1.ce.sn2,珊瑚宫心海
2.2.ce.sn1,凝光
2.2.ce.sn1,重云
2.2.ce.sn1,烟绯
2.2.ce.sn1,达达利亚
2.2.ce.sn2,迪奥娜
2.2.ce.sn2,早柚
2.2.ce.sn2,托马
2.2.ce.sn2,胡桃
2.3.ce.sn1,诺艾尔
2.3.ce.sn1,班尼特
2.3.ce.sn1,罗莎莉亚
2.3.ce.sn1,阿贝多
2.3.ce.sn1,优菈
2.3.ce.sn2,芭芭拉
2.3.ce.sn2,香菱
2.3.ce.sn2,五郎
2.3.ce.sn2,荒泷一斗
2.4.ce.sn1,凝光
2.4.ce.sn1,重云
2.4.ce.sn1,云堇
2.4.ce.sn1,魈
2.4.ce.sn1,申鹤
2.4.ce.sn2,行秋
2.4.ce.sn2,北斗
2.4.ce.sn2,烟绯
2.4.ce.sn2,钟离
2.4.ce.sn2,甘雨
2.5.ce.sn1,菲谢尔
2.5.ce.sn1,迪奥娜
2.5.ce.sn1,托马
2.5.ce.sn1,八重神子
2.5.ce.sn2,辛焱
2.5.ce.sn2,班尼特
2.5.ce.sn2,九条裟罗
2.5.ce.sn2,雷电将军
2.5.ce.sn2,珊瑚宫心海
2.6.ce.sn1,香菱
2.6.ce.sn1,砂糖
2.6.ce.sn1,云堇
2.6.ce.sn1,温迪
2.6.ce.sn1,神里绫人
2.6.ce.sn2,雷泽
2.6.ce.sn2,罗莎莉亚
2.6.ce.sn2,早柚
2.6.ce.sn2,神里绫华
2.7.ce.sn1,芭芭拉
2.7.ce.sn1,诺艾尔
2.7.ce.sn1,烟绯
2.7.ce.sn1,魈
2.7.ce.sn1,夜兰
1.0.we.sn1,笛剑
1.0.we.sn1,绝弦
1.0.we.sn1,钟剑
1.0.we.sn1,流浪乐章
1.0.we.sn1,西风长枪
1.0.we.sn1,风鹰剑
1.0.we.sn1,阿莫斯之弓
1.0.we.sn2,祭礼剑
1.0.we.sn2,祭礼弓
1.0.we.sn2,祭礼大剑
